received_time, packet_text, rssi
1689841214715277667, 4, -97
1689841214900079544, 2, -101
1689841214970353202, 3, -93
1689841215088858110, 2, -101
1689841215678014011, 5, -95
1689841215703084401, 4, -98
1689841215909145408, 2, -101
1689841215979497464, 3, -97
1689841216042268603, 2, -102
1689841216120859030, 5, -99
1689841216235732466, 2, -101
1689841216474402560, 5, -98
1689841216518529633, 4, -97
1689841216610722529, 3, -97
1689841216708824515, 2, -101
1689841217013987157, 4, -98
1689841217090367359, 5, -98
1689841217154858364, 4, -98
1689841217192249710, 3, -97
1689841217319884640, 5, -98
1689841217348847546, 2, -101
1689841217608489652, 3, -97
1689841217820204705, 2, -101
1689841217860127500, 5, -98
1689841217906892686, 3, -96
1689841218039044759, 4, -98
1689841218351648843, 2, -101
1689841218431043554, 5, -99
1689841218549341712, 3, -97
1689841218759698618, 3, -97
1689841218938576713, 5, -99
1689841218993954644, 4, -98
1689841219219797112, 3, -97
1689841219240505866, 2, -101
1689841219277630732, 5, -98
1689841219305053560, 4, -98
1689841219438963743, 3, -97
1689841219639478719, 4, -98
1689841219930922621, 4, -98
1689841220103040857, 3, -96
1689841220148921907, 2, -101
1689841220176280666, 2, -102
1689841220233854680, 5, -98
1689841220548898503, 4, -98
1689841220650056515, 5, -98
1689841220792213761, 2, -102
1689841220834718456, 3, -97
1689841220966272718, 5, -99
1689841221036226863, 3, -96
1689841221060506106, 2, -102
1689841221168856320, 4, -98
1689841221311492836, 5, -98
1689841221484932638, 2, -101
1689841221508611291, 5, -98
1689841221717594203, 4, -98
1689841221961152749, 3, -96
1689841222366105949, 2, -102
1689841222417742139, 4, -96
1689841222804069373, 3, -97
1689841222948437605, 5, -98
1689841223047717582, 3, -97
1689841223112542770, 4, -98
1689841223149488604, 4, -98
1689841223371198295, 3, -93
1689841223470989162, 4, -98
1689841223509592695, 3, -97
1689841223970455802, 5, -98
1689841224165670207, 2, -101
1689841224320139873, 4, -98
1689841224417348385, 4, -97
1689841224494818562, 3, -96
1689841224636355681, 3, -97
1689841224791800267, 5, -98
1689841224995712256, 2, -101
1689841225047398542, 5, -99
1689841225225710125, 4, -98
1689841225250802560, 2, -100
1689841225299413437, 3, -96
1689841225707301810, 3, -92
1689841225774418985, 3, -96
1689841226027246328, 4, -98
1689841226240176251, 3, -96
1689841226308051421, 3, -97
1689841226408564514, 5, -99
1689841226542049702, 4, -98
1689841226609057510, 2, -102
1689841226689304554, 3, -97
1689841226756724714, 5, -99
1689841226819552852, 3, -92
1689841226941659000, 2, -97
1689841227501487628, 4, -95
1689841227692424185, 3, -97
1689841227780958057, U, -95
1689841227812945091, 3, -92
1689841228178457579, 4, -97
1689841228292411081, 4, -97
1689841228338737141, 2, -102
1689841228582336516, 5, -98
1689841228629051125, 3, -97
1689841228840469336, 2, -102
1689841228963423576, 3, -97
1689841229017080445, 4, -97
1689841229143376997, 4, -98
1689841229406211163, 5, -98
1689841229765242352, 3, -98
1689841229800742964, 2, -102
1689841230029065166, 4, -98
1689841230089793439, 5, -98
1689841230686382820, 3, -93
1689841230730574211, 5, -98
1689841230898489581, 2, -101
1689841231016164242, 4, -97
1689841231090804487, 4, -97
1689841231449532214, 3, -97
1689841231617479707, 2, -101
1689841231733900637, 5, -98
1689841231901915787, 3, -94
1689841232010769780, 4, -98
1689841232263809836, 3, -97
1689841232429657504, 5, -98
1689841232492014379, 4, -93
1689841232851995170, 5, -99
1689841233046735564, 4, -98
1689841233089783116, 5, -98
1689841233116735975, 3, -96
1689841233167084562, 2, -100
1689841233525685743, 5, -99
1689841233570091803, 2, -100
1689841233710702322, 2, -101
1689841233831553306, 3, -96
1689841233973501863, 5, -93
1689841234048533355, 2, -100
1689841234213835731, 5, -98
1689841234649982374, 3, -96
1689841234722384319, 2, -100
1689841234880203737, 4, -96
1689841234982296001, 5, -98
1689841235466715238, 4, -97
1689841235571529277, 3, -92
1689841235611740268, 2, -100
1689841235634466316, 5, -98
1689841235794483865, 5, -98
1689841236029644419, 4, -98
1689841236071217948, 2, -101
1689841236092972666, 5, -98
1689841236134561404, 2, -100
1689841236256973841, 3, -96
1689841236369499763, 3, -96
1689841236784902081, 2, -101
1689841236839967946, 4, -97
1689841236960231817, 5, -97
1689841237281166093, 3, -96
1689841237366646295, 3, -95
1689841237450556429, 2, -100
1689841237576432776, 4, -98
1689841237734566799, 2, -99
1689841237859212456, 3, -91
1689841238155727030, 5, -98
1689841238237749956, 3, -95
1689841238518773864, 5, -98
1689841238599509070, 4, -97
1689841238705063838, 3, -95
1689841238729375166, 5, -94
1689841238819178480, 3, -95
1689841239096362562, 5, -97
1689841239382048218, 3, -95
1689841239438259611, 2, -100
1689841239479967957, 2, -100
1689841239522941054, 4, -98
1689841239569238504, 3, -95
1689841239598323663, 2, -99
1689841239922165340, 2, -100
1689841239957103781, 5, -97
1689841240008660185, 4, -98
1689841240156159980, 5, -99
1689841240255894419, 3, -95
1689841240333895445, 4, -98
1689841240696709093, 4, -98
1689841240829460999, 5, -98
1689841240895771822, 2, -100
1689841241004830663, 4, -98
1689841241199485808, 3, -94
1689841241272728213, 3, -95
1689841241440657048, 5, -91
1689841241486332775, 5, -97
1689841241860553613, 2, -101
1689841242086204329, 2, -100
1689841242154146293, 4, -97
1689841242321839261, 5, -98
1689841242349694729, 3, -90
1689841242438809352, 4, -98
1689841242529761539, 2, -100
1689841242882365260, 5, -98
1689841243212737993, 3, -90
1689841243276585262, 4, -97
1689841243486958815, 4, -98
1689841243514224370, 5, -99
1689841243870407378, 3, -94
1689841243973267419, 2, -100
1689841244256758200, 5, -97
1689841244382317511, 4, -98
1689841244457792849, 5, -98
1689841244623860134, 5, -98
1689841244831229409, 3, -89
1689841245305713750, 5, -97
1689841245701322428, 3, -91
1689841245852299293, 2, -100
1689841246050660288, 4, -97
1689841246089252958, 2, -99
1689841246324213893, 5, -98
1689841246487718688, 5, -99
1689841246532535300, 3, -93
1689841246848342118, 2, -105
1689841246912495039, 5, -98
1689841247047991119, 4, -98
1689841247138201293, 3, -94
1689841247171695589, 2, -100
1689841247574337500, 2, -92
1689841247831899306, 4, -92
1689841248038639528, 5, -87
1689841248080254895, 3, -82
1689841248365772485, 5, -86
1689841248406788578, 3, -87
1689841248435606327, 3, -88
1689841248589894608, 4, -96
1689841248647734952, 2, -97
1689841248719114636, 5, -85
1689841249164682884, 2, -83
1689841249276498570, 3, -84
1689841249387375554, 5, -81
1689841249423264475, 2, -83
1689841249787809328, 5, -84
1689841249814419350, 3, -87
1689841249837145135, 5, -84
1689841250015141031, 5, -81
1689841250073743375, 2, -79
1689841250128957422, 4, -87
1689841250188490395, 5, -80
1689841250504425133, 2, -77
1689841250582318031, 4, -87
1689841250803439743, 3, -79
1689841250885538858, 4, -83
1689841251173234520, 3, -85
1689841251289887714, 2, -79
1689841251334908162, 4, -84
1689841251672805508, 4, -87
1689841251753130895, 3, -80
1689841251849038430, 5, -78
1689841252001152709, 4, -98
1689841252044746008, 2, -79
1689841252311745697, 5, -79
1689841252410154936, 2, -78
1689841252740130444, 3, -85
1689841252923937255, 5, -77
1689841253038608896, 2, -86
1689841253298616254, 4, -93
1689841253401395016, 4, -89
1689841253628098294, 2, -73
1689841253726017194, 4, -78
1689841253783726468, 5, -76
1689841254030792265, 4, -84
1689841254104564550, 5, -77
1689841254182406692, 2, -79
1689841254267955475, 5, -78
1689841254380713102, 3, -85
1689841254591776014, 3, -86
1689841254729500393, 5, -77
1689841254955264346, 4, -87
1689841255234843071, 5, -78
1689841255276684872, 4, -92
1689841255446275991, 2, -81
1689841255573105566, 3, -86
1689841255646545646, 5, -81
1689841255897771403, 5, -80
1689841256187357352, 4, -90
1689841256356851874, 5, -80
1689841256659181797, 5, -78
1689841256848503254, 2, -98
1689841256878269177, 3, -85
1689841256899940596, 4, -85
1689841257231697963, 4, -95
1689841257284240664, 7, -73
1689841257463291431, 2, -78
1689841257538431018, 5, -79
1689841257847711685, 4, -83
1689841257907625292, 2, -83
1689841257966144468, 4, -83
1689841258021960874, 3, -88
1689841258237637019, 3, -80
1689841258331245549, 5, -80
1689841258556736043, 5, -78
1689841258579760166, 3, -84
1689841258622278300, 2, -75
1689841259130603900, 5, -90
1689841259162316010, 3, -85
1689841259190543320, 4, -84
1689841259398221701, 2, -76
1689841259609641341, 3, -84
1689841259753445240, 5, -78
1689841259848859227, 3, -84
