"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",
246.13809952755,-70.71080201916998905,214.64410652304,-78.4757885523749789,248.90025398327,-77.4886928708289983,187.12989270502,-72.19241239442300155,130.24296731378,-79.7113740968789838,232.75317682448,-71.9721202315919866,144.89041913662,-79.3435157903799958,271.60064573899,-80.1127493112209945,279.34996542804,-54.41729248265698945,201.66325155891,-67.5854253833410039
260.71428748268,-69.39115236397600455,231.5952100294,-66.26194405452898175,252.91977886421,-71.31302048361399635,197.6632488077,-69.48888532372700385,134.96525478497,-78.0286189215189834,236.77690892532,-66.7554794841369981,148.90993912347,-69.715688569470984,306.41870091868,-78.7359973589420005,284.29350540126,-53.9295506911870033,208.87732713735,-80.80160378432100255
276.2739851962,-72.5733282974299808,235.61473002146,-63.22670888685600205,258.28477195222,-73.26588463650000415,216.75575364847,-64.0151204335290058,140.84569288277,-73.98564804695197925,240.79643056357,-69.8336681204199859,156.04928424514,-79.80892811415299065,310.43822090771,-76.54473949105900465,289.21967258743,-61.11330765297199705,246.02797072731,-69.7549003963929974
280.29350518921,-69.3627671030880035,239.6342514448,-66.09655050937499225,262.30429667804,-82.3087361379149908,235.63425050878,-72.34994728037199225,152.04928367421,-81.687150798653988,248.77691357478,-70.61527179080900375,161.58375685242,-71.56691082039799285,315.37355613092,-74.5875277737389976,294.52360515964,-55.50686048457099255,250.04749378988,-72.09695848516199105
286.23678468748,-68.1897800087419908,244.77691003307,-63.2314434951279904,268.19909503121,-80.4362510509929788,240.77690909148,-72.955219743236,165.41589401868,-73.3985903492879854,271.56160358982,-66.28814414033899975,174.24004461796,-68.7561091688959888,320.95508631958,-76.7049973214429881,298.53290002138,-58.5743726249090028,262.77051438833,-76.1574230766090064
293.90259353961,-74.57293470061398435,248.79643167578,-61.932872179173003,278.08010264625,-76.11702305993600215,244.79643072975,-61.4361097410379953,169.43541400575,-78.4828694404280039,275.58112357819,-62.047558939314001,178.25956460484,-77.4262660254200054,324.97460872281,-80.11873644892898455,304.6965681379,-55.709780779184001,271.33044527268,-81.9035205436839814
322.94141308804,-63.9217382391569939,252.9002543623,-64.3979810338609863,282.23678368049,-90.16230003688698915,250.02797100213,-61.6882375450449981,173.5992961714,-72.64704523088499825,287.59488355154,-65.69457338943499255,182.81921900791,-76.6280705984669904,329.22126022638,-78.3933880187929898,321.20173738383,-53.42492639766899725,275.34996526308,-63.5897013497519905
363.72204489129,-70.57742685989299475,257.21311881015,-63.11322251871399635,294.97784930791,-88.8956878491949848,254.28476729479,-70.06862005893898955,181.16109146902,-79.60313146613799485,293.64405310172,-84.08932394360698455,194.05142672248,-74.8496960575929788,336.4023479701,-73.8809009706230026,325.22125738658,-52.50940283966099275,292.49762877672,-74.1620759588699909
371.31190429099,-66.76305347632100485,283.82155586234,-63.0283327959860029,299.71425448909,-81.20323783254400465,258.30429202226,-63.27061294153899925,192.27082489697,-79.2133431033869895,298.84925845277,-74.86884833591099635,199.81851625464,-88.45714551084299125,340.42187072093,-75.4085209844629955,333.55909633307,-55.832216414615999,296.5171487674,-85.15793364083498285
382.33741695093,-72.65124030989500155,349.02321265543,-63.7904378092019894,318.66480066709,-73.54929685989299015,263.95120203719,-55.41098799287600205,226.39995741449,-75.13901769223699005,339.55152333575,-65.59542063814498615,204.87732554581,-74.89753736176498905,345.64976452162,-82.70446080318700385,360.4499178172,-62.0698814805819976,302.53290310757,-95.6371803873609844
