,node_num,rssi_value,simtime,time_step,kalman
121,node0,-66.79393762940998,11.347374211403,2.2707101050019993,-67.54379438456769
122,node5,-72.26100846869697,11.534289239071999,0.649350310538999,-70.02059515808189
123,node3,-75.625370490667,11.536241242585,0.4019520770399989,-68.60664361149337
124,node7,-66.505203079897,11.588211925975,0.4019520001459984,-69.41609117274652
125,node9,-67.32513807717999,11.612451783054,1.0025624100819996,-66.0237026238527
126,node1,-79.72684750889097,11.644108391065,1.0902455865420002,-73.92872671872846
127,node2,-63.926114917853994,11.684939071714,0.40195219333899956,-67.00047741865048
128,node1,-72.497718232451,12.046060391068,0.4019520000029999,-73.73996703785241
129,node0,-65.22382018164399,12.430922399023,1.08354818762,-66.93910522057595
130,node1,-70.573564583018,12.830922932025999,0.7848625409579988,-73.29652507248989
131,node4,-66.428467069416,13.024296530204001,1.7393575690750023,-65.50292414860323
132,node2,-59.135268660984,13.169983134130998,1.485044062416998,-66.12171046365006
133,node7,-70.50364307366598,13.192362534098999,1.6041506081239998,-69.23767259456905
134,node5,-71.23355203841598,13.284531241297,1.7502420022250007,-71.46019523252438
135,node3,-75.73828181221398,13.412229646135,1.87598840355,-71.16345713146178
136,node4,-60.880249705385,13.496525280082,0.4722287498779991,-64.85000074015852
137,node7,-72.66264650551501,13.594314534163999,0.4019520000650001,-69.79541001694082
138,node3,-70.37119836838798,13.814181647292,0.40195200115699947,-71.24384952001118
139,node2,-69.896164631115,13.913118786517,0.7431356523860018,-66.93111729605758
140,node0,-72.08972719188398,13.951798306246,1.5208759072229991,-68.35338302063832
141,node5,-62.969641528691,13.993067318882002,0.708536077585002,-70.24967272915913
142,node4,-66.957203604954,14.084569093338,0.5880438132560002,-65.354663719434
143,node3,-65.01270051330499,14.313118942581,0.4989372952890001,-70.37932498087113
144,node5,-70.907925081954,14.395019320088,0.4019520012059985,-70.59970290977053
145,node6,-69.33402140458199,14.482111340351,3.739148483581001,-66.30979174476113
146,node2,-68.76697060355798,14.489041757904,0.5759229713869995,-67.38752203625205
147,node8,-71.531307766454,14.520176174171999,4.549126523721998,-75.47472272362627
